Year,Access_Electricity,Agriculture_GDP,Battle_Deaths,CO2_Emissions,Education_Expenditure,Exports_GDP,FDI_Inflows_GDP,GDP_Growth,GDP_USD,Health_Expenditure,Imports_GDP,Industry_GDP,Inflation,Internet_Usage,Life_Expectancy,Manufacturing_GDP,Mobile_Subscriptions,Oil_Rents,Population,Population_Growth,Services_GDP,Unemployment
1960,,,,,,39.0431726,,,2723615451.0,,67.14363171,,,0.0,40.532,,0.0,,11394307.0,,,
1961,,,,,,46.24455689,,-13.60544132,2434747056.0,,67.50377104,,,0.0,40.516,,0.0,,11598608.0,1.777124621,,
1962,,,,,,19.79387268,,-19.68504183,2001444544.0,,20.81864668,,,0.0,39.323,,0.0,,11778260.0,1.537036842,,
1963,,,,,,24.68468205,,34.31372878,2702982018.0,,36.82551514,,,0.0,42.908,,0.0,,11969451.0,1.610219452,,
1964,,,,,,25.08405873,,5.839413008,2909316435.0,,29.43976253,,,0.0,42.788,,0.0,,12179099.0,1.736363196,,
1965,,,,,,22.60394356,,6.206898211,3136284307.0,,25.83307835,,,0.0,42.714,,0.0,,12381256.0,1.646243025,,
1966,,,,,,25.98619752,,-4.804970943,3039859187.0,,24.653572,,,0.0,42.543,,0.0,,12613389.0,1.857515276,,
1967,,,,,,23.43441677,,9.452962563,3370870376.0,,21.63176932,,,0.0,42.568,,0.0,,12897115.0,2.224477412,,
1968,,,,,,23.1356346,,10.79623857,3852147027.0,,24.18725436,,,0.0,42.642,,0.0,,13190975.0,2.252924069,,
1969,,,,,,23.78877682,,8.433280282,4257253264.0,,28.07075808,,,0.0,42.781,,0.0,,13491016.0,2.24910988,,
1970,,,,,,22.0727334,1.64736418,8.86265711,4863526897.0,,29.15266841,,6.599999999,0.0,43.16,,0.0,7.161900127,13795915.0,2.234855142,,
1971,,,,,,18.44251915,0.011817577,-11.33171917,5077183094.0,,27.66377753,,2.626641651,0.0,43.67,,0.0,6.990977527,14110271.0,2.253043807,,
1972,,,,,,20.44956198,0.613145706,27.42396948,6766743957.0,,25.7268683,,3.65630713,0.0,44.346,,0.0,9.013899984,14439748.0,2.308170987,,
1973,,,,,,25.503663,0.58567784,3.813176296,8707858912.0,,31.58976353,,6.172839506,0.0,45.079,,0.0,10.8416352,14786469.0,2.372782404,,
1974,,,,,,38.74904361,2.710094467,7.494917705,13209871626.0,,35.48977562,,4.699612403,0.0,46.034,,0.0,27.71992279,15153602.0,2.452575365,,
1975,,,,,,33.68893622,0.764884586,5.045341613,15557902754.0,,42.96559919,,8.230316653,0.0,46.972,,0.0,22.63327257,15724692.0,3.699395628,,
1976,,,,,,33.05458393,1.054814184,8.386756484,17728240932.0,,37.11867296,,9.430735402,0.0,47.985,,0.0,23.71997373,16500516.0,4.81594374,,
1977,,,,,,30.58656693,0.850904441,5.258585986,20972113685.0,,41.7403173,,11.98928332,0.0,49.191,,0.0,23.16413925,17134192.0,3.768434612,,
1978,,,,,,25.53583672,0.512629547,9.214835701,26364491313.0,,40.16873217,,17.52392345,0.0,50.353,,0.0,20.12033262,17632645.0,2.867601425,,
