Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,,,,,,
Voice and Accountability: Standard Error,VA.STD.ERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208809838,,0.214446098,,0.19728291,,0.159148961,0.156959146,0.137709811,0.138626516,0.113918133,0.111849181,0.10954994,0.111483052,0.11014083,0.113212377,0.115554519,0.110356778,0.127197281,0.126476899,0.124397255,0.124953672,0.130993634,0.123945877,0.126623094,0.120992064,0.119970292
Voice and Accountability: Number of Sources,VA.NO.SRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,,7,,9,10,13,14,15,16,16,16,16,16,16,16,13,12,12,12,12,10,9,10,10
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.203712863,1.041776034,1.176791092,1.167900418,0.541468111,0.343094841,0.569126988,0.328391631,0.233281066,0.489614088,0.960299339,,,,,
Export value index (2015 = 100),TX.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,40.7156117,42.25664668,38.6579631,37.28717579,37.58070626,37.75095393,24.23094042,27.79733565,24.74168344,30.00468479,43.16952644,39.07771167,35.65514637,31.88915042,29.19454069,29.58982347,38.21968386,40.07766101,29.44790585,36.12921608,63.54934708,55.18922349,54.22579901,66.81377637,90.29652704,132.6941272,157.5314411,173.5409023,228.7354333,130.3047479,164.5684378,211.9793469,207.2977962,187.4177916,173.2462213,100,86.61013039,101.5085959,120.5636322,103.3331603,68.6425522,105.8613131,
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,3.160846291,2.360043908,,,,,1.416613007,1.769911504,1.721647002,1.602667527,1.509245377,0.795391889,0.977506422,0.326655283,0.504818724,1.73062437,0.575968371,0.124478391,0.141070058,0.814650116,0.776634392,1.123870996,1.691634977,1.103559756,0.374733172,,,,0.676732587,0.417498154,0.32233193,0.36476721,0.251750907,0.426034638,0.383030322,0.391653544,0.100169436,0.494401234,0.342312197,0.409267195,0.243702265,0.130330604,0.31926205,0.060803594,0.086117377,0.106019536,0.028530971,0.07548152,0.463990176,0.209736922,0.137023648,0.198834729,0.181874235,0.184566717,0.16133006,0.247880979,0.420542535,0.485098748,0.41469539,1.026696308,1.026696284,,
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,0.050981392,,,,,,0.273663876,0.622234513,0.722369372,0.860492632,1.299350325,1.54855058,1.951109064,0.613008941,0.556901502,0.371532048,0.078958868,0.266739409,0.039576215,0.080096278,0.057869889,0.324834292,0.102388662,0.587658631,1.35054377,1.438157239,0.664464916,1.234979312,1.760213564,1.84762479,1.868262572,0.624412277,1.869558245,1.652880533,1.534786635,5.448441225,9.644024602,6.0452654,5.948589841,5.033989616,6.100348423,5.154659138,5.133803663,4.612661896,3.239950446,3.732760402,3.389312457,3.560971515,3.812249903,4.447371129,4.771556356,3.52402314,3.828843667,4.31933729,4.329366586,5.29236079,4.857190374,5.426463218,5.760274228,8.122778771,8.122778758,,
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,394000000,367000000,192000000,759000000,727000000,637000000,621000000,723000000,830000000,934000000,1009000000,857000000,1304000000,1887000000,4687000000,4700000000,5259000000,5944000000,6326000000,9551000000,13871000000,14396000000,13170000000,12583000000,12795000000,12841000000,7832000000,8225000000,7810000000,9570000000,12880000000,12440000000,11510000000,10410000000,8892000000,10258000000,13250000000,13894000000,10209000000,12525000000,22031000000,19133000000,18799000000,23163000000,31304000000,46002000000,54613000000,60163000000,79298000000,45174000000,57053000000,73489000000,71866000000,64974000000,60061000000,34668000000,30026000000,35191000000,41797000000,35312000000,21925000000,38558000000,60924000000
Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,,,,,,,,,,,,,,,,,,4.623255814,5.492227979,5.407801418,5.785172212,5.869109948,6.408695652,7.601416613,7.736248237,8.328788469,9.701553557,8.223787167,8.607021518,7.168092741,5.931098696,5.692618807,,,,,,,,,,,,,,21.37064071,4.378980892,5.710451383,8.272790654,9.072002432,8.609012972,8.448421539,9.160607448,8.066139064,9.329013811,12.41030672,11.89623253,10.64362282,9.664974557,12.45846397,8.170527067,10.65255768,10.54367652
Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,2.364702722,,1.291743413,0.804877085,0.508932205,0.891612013,,0.291639598,0.17346621,0.120952188,0.090137869,0.051015842,0.044534807,0.028898866,0.005131709,0.005627105,0.001489391,0.001986152,0.006031998,0.016356047,0.01143477,0.014451042,,,,,0.008557924,0.002329677,0.022568416,0.055603771,0.067380795,0.049757259,0.109522445,0.038464867,0.04992616,0.054960796,0.015641668,0.024027455,0.010063207,0.004355799,0.006964886,0.005570151,0.006630881,0.007413856,0.015785597,0.024537213,0.009902882,0.012085987,0.01840185,0.028116734,0.035067563,0.050556508,,,,,
Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,89.40353956,103.258474,88.00150766,89.3501898,74.20060992,72.28093182,35.60405826,33.51245898,30.48583519,31.37984795,39.27044967,43.11442933,37.48542923,31.09714662,30.48583519,30.74462836,35.86873309,37.57383826,27.04388606,31.56202414,53.10435808,55.1671539,53.82742394,61.62485451,68.88721991,87.66274901,101.0081723,100.6546878,122.910456,90.9395281,119.5362857,139.4239248,154.4967815,150.3603068,143.4029715,100,82.53722364,93.88098736,111.0198246,101.6912729,72.78720753,115.7738397,
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,,,,,,,,,,,,,,,,,,43.68947973,46.19875282,45.17529215,38.20497271,36.47332201,35.06438495,34.64112201,35.58196721,34.45747801,32.01199201,29.05498545,18.58117326,18.25779871,19.87345413,20.26185877,,,,,,,,,,,,,,48.52487891,52.63622325,56.63797158,62.36026167,67.45185331,66.50129002,65.41625728,56.58517703,53.62640567,56.08333829,55.8521513,58.42558624,59.58686437,61.44851116,54.7333471,57.92692119,51.50171223,47.69935644
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,0.888959441,1.395210766,,,3.067047076,,4.274976511,8.84343037,6.589867459,10.60042241,12.62573429,10.52045462,9.497881816,9.449378183,7.617587634,5.03531219,6.60908236,10.34294537,11.96504875,8.93289617,8.440099708,6.800491347,8.205731868,7.22365501,9.352497356,7.678335233,6.48152864,9.673159365,10.45515657,10.13889797,7.375372851,6.306845795,3.959518813,2.051429906,2.419162045,2.512368079,2.754992387,0.223958751,0.139063098,0.275979274,0.011472915,0.092572923,0.227790383,1.751687503,0.01281428,0.041542849,0.026494387,0.003973498,0.306615097,0.430120427,0.719282493,0.013748462,0.015327378,0.002413324,0.054315728,0.005597312,2.259178902,11.44055462,9.599082902,8.078054632,8.078054625,,
